Parameter;Value;1-sigma errorCount;2-sigma errorCount;3-sigma errorCount;;s;I;Ifit;abwAbs;abwRel
1.07492118522337;1567.40561298391;;;;;1.07492118522337;1571.590312;1567.40561298391;4.18469901609069;0.0026627162207212
1.08121928578377;1567.973496489;;;;;1.08121928578377;1570.744247;1567.973496489;2.77075051099632;0.00176397304417205
1.08743509253851;1568.7045946958;;;;;1.08743509253851;1570.008476;1568.7045946958;1.30388130420397;0.000830493162384665
1.09356796821699;1569.58728443174;;;;;1.09356796821699;1569.374323;1569.58728443174;-0.212961431740496;-0.000135698302577935
1.09961775533231;1570.61433405776;;;;;1.09961775533231;1568.836211;1570.61433405776;-1.77812305776433;-0.00113340261099081
1.10558365611981;1571.77658692412;;;;;1.10558365611981;1568.389286;1571.77658692412;-3.38730092412447;-0.00215973225165507
1.11146535350755;1573.06735809111;;;;;1.11146535350755;1568.027818;1573.06735809111;-5.03954009110589;-0.00321393538638477
1.11726252845727;1574.48052097466;;;;;1.11726252845727;1567.749744;1574.48052097466;-6.73077697465874;-0.00429327257135163
1.12297454432082;1576.01110470577;;;;;1.12297454432082;1567.550762;1576.01110470577;-8.46034270576797;-0.00539717303634469
1.12860092385325;1577.65378330564;;;;;1.12860092385325;1567.429487;1577.65378330564;-10.2242963056435;-0.00652297050070969
1.13414150766779;1579.40518796329;;;;;1.13414150766779;1567.384328;1579.40518796329;-12.020859963292;-0.00766937613739619
1.13959565934895;1581.26029946192;;;;;1.13959565934895;1567.414625;1581.26029946192;-13.8456744619182;-0.00883344728387881
1.14496305998181;1583.21667326837;;;;;1.14496305998181;1567.518825;1583.21667326837;-15.6978482683653;-0.0100144559784571
1.15024323274397;1585.27267618947;;;;;1.15024323274397;1567.698889;1585.27267618947;-17.5737871894748;-0.0112099251410995
1.15543585868039;1587.42613993787;;;;;1.15543585868039;1567.954932;1587.42613993787;-19.4712079378712;-0.0124182191340377
1.16054046073094;1589.67746149894;;;;;1.16054046073094;1568.289497;1589.67746149894;-21.3879644989386;-0.0136377655655106
1.16555672019692;1592.02780548434;;;;;1.16555672019692;1568.705465;1592.02780548434;-23.3223404843391;-0.014867252651752
1.1704841597022;1594.47482704182;;;;;1.1704841597022;1569.20861;1594.47482704182;-25.2662170418221;-0.0161012480308925
1.17532262007835;1597.02385328009;;;;;1.17532262007835;1569.803169;1597.02385328009;-27.220684280094;-0.0173401894056783
1.18007130542134;1599.68000024031;;;;;1.18007130542134;1570.494766;1599.68000024031;-29.1852342403097;-0.0185834648240462
1.184730374605;1602.4516556536;;;;;1.184730374605;1571.294761;1602.4516556536;-31.1568946536006;-0.0198288032436204
1.18929903246188;1605.34800418656;;;;;1.18929903246188;1572.211519;1605.34800418656;-33.1364851865603;-0.0210763531408526
1.19377727837213;1608.38610515865;;;;;1.19377727837213;1573.258882;1608.38610515865;-35.1272231586456;-0.0223276814518856
1.19816447601035;1611.58673802617;;;;;1.19816447601035;1574.450273;1611.58673802617;-37.136465026166;-0.0235869405741251
1.20246046589132;1614.97564922452;;;;;1.20246046589132;1575.800968;1614.97564922452;-39.1746812245194;-0.0248601708083983
1.20666492985824;1618.58723823134;;;;;1.20666492985824;1577.325617;1618.58723823134;-41.2616212313405;-0.0261592284983098
1.21077754983655;1622.46367367992;;;;;1.21077754983655;1579.038732;1622.46367367992;-43.4249416799159;-0.0275008717645033
1.21479784761657;1626.64849423193;;;;;1.21479784761657;1580.95195;1626.64849423193;-45.696544231929;-0.0289044485077039
1.21872566443213;1631.18490536803;;;;;1.21872566443213;1583.066586;1631.18490536803;-48.1183193680258;-0.0303956383095725
