Parameter;Value;1-sigma errorCount;2-sigma errorCount;3-sigma errorCount;;s;I;Ifit;abwAbs;abwRel
0.234197112513238;3271.80404284394;;;;;0.234197112513238;3271.785129;3271.80404284394;-0.0189138439386625;-5.78089428031705e-06
0.235310545782136;3294.21427235847;;;;;0.235310545782136;3294.193596;3294.21427235847;-0.0206763584669716;-6.27660696447167e-06
0.236423819848958;3316.77461644146;;;;;0.236423819848958;3316.76557;3316.77461644146;-0.00904644145657585;-2.72748895442009e-06
0.237536934746281;3339.38864863079;;;;;0.237536934746281;3339.393327;3339.38864863079;0.00467836920961417;1.40096381333344e-06
0.238649890506147;3362.07132019772;;;;;0.238649890506147;3362.062569;3362.07132019772;-0.0087511977203576;-2.60292529979908e-06
0.239762687048807;3384.71704924113;;;;;0.239762687048807;3384.708117;3384.71704924113;-0.00893224113178803;-2.63899893965008e-06
0.240875165232284;3407.28796464894;;;;;0.240875165232284;3407.282674;3407.28796464894;-0.00529064893635223;-1.55274728942323e-06
0.241987643348108;3429.71121363158;;;;;0.241987643348108;3429.696991;3429.71121363158;-0.0142226315824701;-4.14690616103761e-06
0.243099803218011;3451.92967557401;;;;;0.243099803218011;3451.900222;3451.92967557401;-0.0294535740099491;-8.53256818439669e-06
0.244211803822324;3473.85935008554;;;;;0.244211803822324;3473.850675;3473.85935008554;-0.00867508554256347;-2.4972534383803e-06
0.245323645301443;3495.46008763644;;;;;0.245323645301443;3495.452523;3495.46008763644;-0.00756463644256655;-2.1641365153128e-06
0.24643516853263;3516.67066524338;;;;;0.24643516853263;3516.636612;3516.67066524338;-0.0340532433788212;-9.68346950111922e-06
0.247546691651295;3537.37787199319;;;;;0.247546691651295;3537.380219;3537.37787199319;0.00234700681130562;6.6348728889797e-07
0.24865789640948;3557.57997489746;;;;;0.24865789640948;3557.556134;3557.57997489746;-0.0238408974555568;-6.70148173565175e-06
0.249769101167092;3577.16525588193;;;;;0.249769101167092;3577.151965;3577.16525588193;-0.0132908819268778;-3.71549267599476e-06
0.250879828407113;3596.05871322043;;;;;0.250879828407113;3596.065383;3596.05871322043;0.00666977957325798;1.85474368869616e-06
0.251990555699392;3614.24865419155;;;;;0.251990555699392;3614.24294;3614.24865419155;-0.00571419155312469;-1.58102032652091e-06
0.253101123777158;3631.61150944422;;;;;0.253101123777158;3631.609362;3631.61150944422;-0.00214744421509749;-5.91320266317095e-07
0.254211373483112;3648.13944499895;;;;;0.254211373483112;3648.140008;3648.13944499895;0.000563001050522871;1.54325505405019e-07
0.255321464079462;3663.70413175901;;;;;0.255321464079462;3663.68304;3663.70413175901;-0.0210917590102326;-5.75698246271671e-06
0.25643139547929;3678.2804104695;;;;;0.25643139547929;3678.280597;3678.2804104695;0.000186530495284387;5.07113283952619e-08
0.257541167595122;3691.80117260367;;;;;0.257541167595122;3691.796106;3691.80117260367;-0.0050666036736402;-1.37239531332888e-06
0.258650621490567;3704.23918718313;;;;;0.258650621490567;3704.242762;3704.23918718313;0.00357481686569372;9.65060093351873e-07
0.259759916203732;3715.47503678475;;;;;0.259759916203732;3715.480172;3715.47503678475;0.00513521525408578;1.38211348637653e-06
0.260869051645682;3725.51896312563;;;;;0.260869051645682;3725.516299;3725.51896312563;-0.00266412562996265;-7.15102395519718e-07
0.261978027948639;3734.30511869547;;;;;0.261978027948639;3734.310695;3734.30511869547;0.00557630453431557;1.49326207425158e-06
0.263086845133231;3741.77391199965;;;;;0.263086845133231;3741.767961;3741.77391199965;-0.00595099965312329;-1.59042455736161e-06
0.264195343959488;3747.89710144099;;;;;0.264195343959488;3747.882928;3747.89710144099;-0.0141734409858145;-3.78171924206233e-06
0.265303683542955;3752.65364772426;;;;;0.265303683542955;3752.644017;3752.65364772426;-0.00963072425838618;-2.56638365236821e-06
0.266411704811648;3755.96198127934;;;;;0.266411704811648;3755.960463;3755.96198127934;-0.00151827934405446;-4.04231982474535e-07
0.267519726106061;3757.84586551519;;;;;0.267519726106061;3757.847987;3757.84586551519;0.00212148481250551;5.64547799656781e-07
0.268627429069643;3758.27123311526;;;;;0.268627429069643;3758.256147;3758.27123311526;-0.0150861152633297;-4.01412641215849e-06
0.269734972810885;3757.1935782941;;;;;0.269734972810885;3757.184527;3757.1935782941;-0.00905129410330119;-2.4090629667658e-06
0.270842198151545;3754.62955151789;;;;;0.270842198151545;3754.628488;3754.62955151789;-0.00106351789054315;-2.83255159316618e-07
0.271949423527267;3750.57272342867;;;;;0.271949423527267;3750.557306;3750.57272342867;-0.0154174286685702;-4.11070339970702e-06
0.273056171458001;3744.99306333046;;;;;0.273056171458001;3744.996079;3744.99306333046;0.00301566953976362;8.05253056651764e-07
0.274162919343727;3737.91841087837;;;;;0.274162919343727;3737.90731;3737.91841087837;-0.0111008783678699;-2.96981103254534e-06
0.275269348847514;3729.34701176017;;;;;0.275269348847514;3729.34633;3729.34701176017;-0.000681760173847579;-1.82809563264021e-07
